date 	index
1/1/87	63.75
2/1/87	64.15
3/1/87	64.49
4/1/87	64.99
5/1/87	65.57
6/1/87	66.24
7/1/87	66.80
8/1/87	67.29
9/1/87	67.64
10/1/87	67.92
11/1/87	68.11
12/1/87	68.36
1/1/88	68.60
2/1/88	68.93
3/1/88	69.33
4/1/88	69.80
5/1/88	70.42
6/1/88	71.08
7/1/88	71.69
8/1/88	72.19
9/1/88	72.58
10/1/88	72.83
11/1/88	73.08
12/1/88	73.29
1/1/89	73.62
2/1/89	73.97
3/1/89	74.41
4/1/89	74.87
5/1/89	75.30
6/1/89	75.70
7/1/89	76.05
8/1/89	76.28
9/1/89	76.43
10/1/89	76.49
11/1/89	76.52
12/1/89	76.50
1/1/90	76.53
2/1/90	76.59
3/1/90	76.79
4/1/90	77.04
5/1/90	77.30
6/1/90	77.50
7/1/90	77.56
8/1/90	77.47
9/1/90	77.22
10/1/90	76.91
11/1/90	76.37
12/1/90	75.97
1/1/91	75.53
2/1/91	75.25
3/1/91	75.14
4/1/91	75.32
5/1/91	75.77
6/1/91	76.26
7/1/91	76.51
8/1/91	76.59
9/1/91	76.58
10/1/91	76.29
11/1/91	76.04
12/1/91	75.84
1/1/92	75.70
2/1/92	75.66
3/1/92	75.82
4/1/92	76.08
5/1/92	76.40
6/1/92	76.61
7/1/92	76.72
8/1/92	76.74
9/1/92	76.64
10/1/92	76.61
11/1/92	76.59
12/1/92	76.47
1/1/93	76.40
2/1/93	76.34
3/1/93	76.39
4/1/93	76.67
5/1/93	77.04
6/1/93	77.52
7/1/93	77.89
8/1/93	78.14
9/1/93	78.21
10/1/93	78.18
11/1/93	78.18
12/1/93	78.13
1/1/94	78.21
2/1/94	78.22
3/1/94	78.36
4/1/94	78.72
5/1/94	79.23
6/1/94	79.72
7/1/94	80.08
8/1/94	80.33
9/1/94	80.35
10/1/94	80.32
11/1/94	80.18
12/1/94	80.09
1/1/95	80.04
2/1/95	80.01
3/1/95	80.10
4/1/95	80.40
5/1/95	80.72
6/1/95	81.09
7/1/95	81.44
8/1/95	81.68
9/1/95	81.76
10/1/95	81.75
11/1/95	81.66
12/1/95	81.54
1/1/96	81.46
2/1/96	81.43
3/1/96	81.70
4/1/96	82.15
5/1/96	82.63
6/1/96	83.08
7/1/96	83.45
8/1/96	83.68
9/1/96	83.74
10/1/96	83.66
11/1/96	83.59
12/1/96	83.52
1/1/97	83.56
2/1/97	83.63
3/1/97	83.94
